Municipio,Codigo ,Total
Alta Floresta D'Oeste,  1 100 015 ,   21 494
Ariquemes,  1 100 023 ,   96 833
Cabixi,  1 100 031 ,   5 351
Cacoal,  1 100 049 ,   86 887
Cerejeiras,  1 100 056 ,   15 890
Colorado do Oeste,  1 100 064 ,   15 663
Corumbiara,  1 100 072 ,   7 519
Costa Marques,  1 100 080 ,   12 627
Espigão D'Oeste,  1 100 098 ,   29 414
Guajará-Mirim,  1 100 106 ,   39 387
Jaru,  1 100 114 ,   50 591
Ji-Paraná,  1 100 122 ,   124 333
Machadinho D'Oeste,  1 100 130 ,   30 707
Nova Brasilândia D'Oeste,  1 100 148 ,   15 679
Ouro Preto do Oeste,  1 100 155 ,   35 044
Pimenta Bueno,  1 100 189 ,   35 079
Porto Velho,  1 100 205 ,   460 434
Presidente Médici,  1 100 254 ,   19 327
Rio Crespo,  1 100 262 ,   3 471
Rolim de Moura,  1 100 288 ,   56 406
Santa Luzia D'Oeste,  1 100 296 ,   7 419
Vilhena,  1 100 304 ,   95 832
São Miguel do Guaporé,  1 100 320 ,   21 635
Nova Mamoré,  1 100 338 ,   25 444
Alvorada D'Oeste,  1 100 346 ,   13 117
Alto Alegre dos Parecis,  1 100 379 ,   11 479
Alto Paraíso,  1 100 403 ,   16 320
Buritis,  1 100 452 ,   27 992
Novo Horizonte do Oeste,  1 100 502 ,   7 667
Cacaulândia,  1 100 601 ,   4 150
Campo Novo de Rondônia,  1 100 700 ,   8 844
Candeias do Jamari,  1 100 809 ,   22 310
Castanheiras,  1 100 908 ,   3 233
Chupinguaia,  1 100 924 ,   9 324
Cujubim,  1 100 940 ,   14 863
Governador Jorge Teixeira,  1 101 005 ,   8 001
Itapuã do Oeste,  1 101 104 ,   8 548
Ministro Andreazza,  1 101 203 ,   6 466
Mirante da Serra,  1 101 302 ,   9 235
Monte Negro,  1 101 401 ,   11 548
Nova União,  1 101 435 ,   6 200
Parecis,  1 101 450 ,   4 125
Pimenteiras do Oeste,  1 101 468 ,   2 156
Primavera de Rondônia,  1 101 476 ,   3 076
São Felipe D'Oeste,  1 101 484 ,   5 258
São Francisco do Guaporé,  1 101 492 ,   16 286
Seringueiras,  1 101 500 ,   11 171
Teixeirópolis,  1 101 559 ,   4 256
Theobroma,  1 101 609 ,   8 113
Urupá,  1 101 708 ,   10 725
Vale do Anari,  1 101 757 ,   7 788
Vale do Paraíso,  1 101 807 ,   6 479
Acrelândia,  1 200 013 ,   14 021
Assis Brasil,  1 200 054 ,   8 100
Brasiléia,  1 200 104 ,   26 000
Bujari,  1 200 138 ,   12 917
Capixaba,  1 200 179 ,   10 392
Cruzeiro do Sul,  1 200 203 ,   91 888
Epitaciolândia,  1 200 252 ,   18 757
Feijó,  1 200 302 ,   35 426
Jordão,  1 200 328 ,   9 222
Mâncio Lima,  1 200 336 ,   19 294
Manoel Urbano,  1 200 344 ,   11 996
Marechal Thaumaturgo,  1 200 351 ,   17 093
Plácido de Castro,  1 200 385 ,   16 560
Porto Walter,  1 200 393 ,   10 735
Rio Branco,  1 200 401 ,   364 756
Rodrigues Alves,  1 200 427 ,   14 938
Santa Rosa do Purus,  1 200 435 ,   6 723
Senador Guiomard,  1 200 450 ,   21 454
Sena Madureira,  1 200 500 ,   41 343
Tarauacá,  1 200 609 ,   43 467
Xapuri,  1 200 708 ,   18 243
Porto Acre,  1 200 807 ,   16 693
Alvarães,  1 300 029 ,   15 866
Amaturá,  1 300 060 ,   10 819
Anamã,  1 300 086 ,   9 962
